Abm11no5,,4,,4,4,2,2,9,,3,1,3,3,1,4,1,1,1,1,4,3
Abm11no5/Cb,,,2,,1,2,2,6,2,,1,1,2,2,,,,,,,
Abm13,4,1,3,1,1,3,1,,4,,3,4,,2,,,,,,,
Abm6,4,1,3,3,1,3,1,6,,,1,3,1,2,,,,,,,
Abm6/9,4,,,3,1,3,3,9,,3,1,2,3,,,,,,,,
Abm6/Eb,4,,3,3,1,3,1,,,,,,,,,,,,,,
Abm7,4,1,3,1,1,1,1,6,,,1,3,2,2,,,,,,,
Abm7/Cb,4,4,3,1,1,1,1,9,,,1,3,1,3,,,,,,,
Abm7/Eb,4,,3,1,1,1,1,6,,1,1,3,2,2,,,,,,,
Abm7/Gb,,,,4,4,4,4,7,,3,,2,3,1,,,,,,,
Abm7b5,,4,,4,4,3,,6,,,1,2,2,2,11,,1,2,1,2,
Abm7b5/Ebb,,,,0,1,0,2,4,,2,3,1,4,,4,,2,1,1,4,1
Abm7b5/Gb,,,,4,4,3,4,7,,3,,1,3,1,9,,1,1,3,1,2
Abm7b5b9,,4,2,4,2,3,2,,,,,,,,,,,,,,
Abm7b5add11,10,,2,2,2,3,1,,4,4,4,4,3,,,,,,,,
Abm7b9,9,,3,1,3,2,,4,1,3,1,1,1,2,,,,,,,
Abm7b9no5,9,,3,1,3,2,,4,,,3,1,4,2,,,,,,,
Abm7add11,,4,2,4,4,2,2,11,,1,1,1,2,1,,,,,,,
Abm7add11/Cb,,,2,4,4,2,4,6,2,1,1,1,2,2,,,,,,,
Abm7add11/Eb,6,,1,1,1,2,2,,,,,,,,,,,,,,
Abm7add11/Gb,,,,4,4,2,4,,,,,,,,,,,,,,
Abm7add11no5,,4,2,4,4,2,2,9,,3,1,3,1,1,6,,,1,1,2,2
Abm7add11no5/Cb,,,2,,1,2,2,6,2,,1,1,2,2,,,,,,,
Abm7no5,,4,,4,4,,,6,,,1,,2,2,11,,1,,1,2,
Abm7no5/Cb,,,2,,1,,2,,,,,,,,,,,,,,
Abm7no5/Gb,,,,4,4,,4,,2,,,1,0,,,,,,,,
Abm7sus4,4,,,3,3,4,1,,,,,,,,,,,,,,
Abm7sus4/Eb,4,,3,,3,4,1,,,,,,,,,,,,,,
Abm7sus4/Gb,,2,,1,1,2,2,,,,,,,,,,,,,,
Abm7sus4no5,,,,,1,2,2,9,,3,3,3,1,1,,,,,,,
Abm9,4,,,3,1,4,3,9,,3,1,3,3,,4,1,3,1,1,1,3
Abm9/Cb,6,2,1,1,3,2,1,2,,1,3,2,3,3,,,,,,,
Abm9/Eb,4,,,3,1,4,3,9,,3,1,3,3,,4,1,3,1,1,1,3
Abm9/Gb,,,,4,4,4,4,7,,3,,2,3,1,,,,,,,
Abm9b5,,4,,0,3,0,2,6,,,1,2,2,2,11,,1,2,1,2,
Abm9no5,4,,,3,1,4,3,9,,3,1,3,3,,,,,,,,
